"theta","K","R","n","m","Aobs_averagepcs","B","logitB","logitA"
0.15,4,2,50,2,0.6965,0.748344353219591,1.08980156531104,0.830686182720307
0.15,4,2,20,3,0.53965,0.599070844900188,0.401595121950992,0.1589337115375
0.15,4,2,25,3,0.5684,0.632298483522129,0.542090054185204,0.275326162838966
0.15,4,2,30,3,0.60015,0.66117238758084,0.668523143901567,0.406090147193455
0.15,4,2,35,3,0.62225,0.686649256842357,0.784500470359594,0.499109340094852
0.15,4,2,40,3,0.6468,0.709378557099127,0.89236777828421,0.605002658973147
0.15,4,2,45,3,0.671,0.729826968293683,0.993744864403756,0.71271138620631
0.15,4,2,50,3,0.69225,0.748344353219591,1.08980156531104,0.810659396986508
0.15,4,2,20,4,0.53595,0.599070844900188,0.401595121950992,0.144048568096127
0.15,4,2,25,4,0.56345,0.632298483522129,0.542090054185204,0.255175682141542
0.15,4,2,30,4,0.594,0.66117238758084,0.668523143901567,0.380526159760912
0.15,4,2,35,4,0.6199,0.686649256842357,0.784500470359594,0.489123798712671
0.15,4,2,40,4,0.64225,0.709378557099127,0.89236777828421,0.585143217553433
0.15,4,2,45,4,0.6678,0.729826968293683,0.993744864403756,0.698251530330359
0.15,4,2,50,4,0.69015,0.748344353219591,1.08980156531104,0.800820655861471
0.15,4,2.25,20,1,0.58535,0.653591267717794,0.634862798134225,0.344775168028469
0.15,4,2.25,25,1,0.6166,0.689715278337786,0.798788539411239,0.475141684840506
0.15,4,2.25,30,1,0.6433,0.720534867758093,0.947116273766614,0.589716086052109
0.15,4,2.25,35,1,0.67215,0.74723442572854,1.08391648355446,0.717925343190634
0.15,4,2.25,40,1,0.69175,0.770622140442181,1.21182747774399,0.808313476622581
0.15,4,2.25,45,1,0.71635,0.79128115165093,1.33266521972875,0.926427790566805
0.15,4,2.25,50,1,0.738,0.809649958426625,1.44773730293874,1.03559932083938
0.15,4,2.25,20,2,0.5788,0.653591267717794,0.634862798134225,0.317849214497508
0.15,4,2.25,25,2,0.61415,0.689715278337786,0.798788539411239,0.464790505081491
0.15,4,2.25,30,2,0.6465,0.720534867758093,0.947116273766614,0.603689712875285
0.15,4,2.25,35,2,0.6736,0.74723442572854,1.08391648355446,0.724512839838165
0.15,4,2.25,40,2,0.69125,0.770622140442181,1.21182747774399,0.805969664894358
0.15,4,2.25,45,2,0.7195,0.79128115165093,1.33266521972875,0.941982801364672
0.15,4,2.25,50,2,0.74135,0.809649958426625,1.44773730293874,1.05299705201451
0.15,4,2.25,20,3,0.5804,0.653591267717794,0.634862798134225,0.324415644487891
0.15,4,2.25,25,3,0.6118,0.689715278337786,0.798788539411239,0.454884760981893
0.15,4,2.25,30,3,0.6419,0.720534867758093,0.947116273766614,0.583620251313346
0.15,4,2.25,35,3,0.66795,0.74723442572854,1.08391648355446,0.698927760449099
0.15,4,2.25,40,3,0.69055,0.770622140442181,1.21182747774399,0.802691853338567
0.15,4,2.25,45,3,0.71685,0.79128115165093,1.33266521972875,0.928889821132463
0.15,4,2.25,50,3,0.7392,0.809649958426625,1.44773730293874,1.04181469027498
0.15,4,2.25,20,4,0.5792,0.653591267717794,0.634862798134225,0.319490179648006
0.15,4,2.25,25,4,0.6073,0.689715278337786,0.798788539411239,0.435976941319565
0.15,4,2.25,30,4,0.64335,0.720534867758093,0.947116273766614,0.589933990906952
0.15,4,2.25,35,4,0.6655,0.74723442572854,1.08391648355446,0.687901758266883
0.15,4,2.25,40,4,0.6916,0.770622140442181,1.21182747774399,0.807610112119961
0.15,4,2.25,45,4,0.71495,0.79128115165093,1.33266521972875,0.919548006701265
0.15,4,2.25,50,4,0.7361,0.809649958426625,1.44773730293874,1.02579573555538
0.15,4,2.5,20,1,0.6143,0.699500955074722,0.844922583787378,0.4654235429557
0.15,4,2.5,25,1,0.6484,0.737171684559519,1.03131978960256,0.612013624050499
0.15,4,2.5,30,1,0.67625,0.768690402530019,1.20093122897343,0.736591217146944
0.15,4,2.5,35,1,0.699,0.795469240592328,1.3582138033467,0.842540477484934
0.15,4,2.5,40,1,0.71905,0.818474585768339,1.50604667934785,0.939754178774181
0.15,4,2.5,45,1,0.7492,0.838404642635406,1.64640543455116,1.09435016181117
0.15,4,2.5,50,1,0.7656,0.855784300402407,1.78070826618261,1.18363078243589
0.15,4,2.5,20,2,0.60875,0.699500955074722,0.844922583787378,0.442060932542437
0.15,4,2.5,25,2,0.6459,0.737171684559519,1.03131978960256,0.601065333920569
0.15,4,2.5,30,2,0.6799,0.768690402530019,1.20093122897343,0.753312281556596
